pair_id,product_image,ref_image,product_title
0083,p083.png,r076.png,"SEPTWOLVES Men's Cotton Tank Tops, High-Stretch Breathable Sports Vests, 2-Pack"
0084,p084.png,r196.png,"Yalu Antibacterial Fiber Summer Quilt / Air-Conditioning Comforter, 150 x 200cm, Light Gray"
0085,p085.png,r115.png,"Jiayi Solid Wood Coat Rack, Freestanding Clothes Hanger and Storage Rack"
0086,p086.png,r070.png,"BULL Power Strip with Individual Switches, 4 Outlets, 3m Cable, Model GN-B3043"
0087,p087.png,r024.png,"MISSHA M Perfect Cover BB Cream SPF42/PA+++, No. 21, Classic Red BB"
0088,p088.jpg,r132.png,"Wei Chuan Wandan Shelf-Stable Milk, Non-Standardized Fat, 200ml"
0089,p089.jpg,r140.png,"SENTOSA Goat Milk Powder, 800g"
0090,p090.jpg,r131.png,"Taiwan Sixiu Crispy Salted Winter Bamboo Shoot Crackers, 25g x 10 Packs"
0091,p091.jpg,r012.png,"Ve Wong Prince Noodles, Original Flavor, 40g x 5 Packs"
0092,p092.jpg,r028.png,okamoto 003 PLATINUM Ultra-Thin Condoms
0093,p093.jpg,r039.png,"Anchor Full Cream Milk, 1L"
0094,p094.jpg,r157.png,"Chung Hsiang Qiaoxin Soda Crackers with Nougat Filling, Original Flavor, 145g"
0095,p095.jpg,r074.png,"Amei Mochi Cake, Original Flavor, 350g"
0096,p096.jpg,r061.png,"Lian Hwa Foods Assorted Snack Box, 39 Packs"
0097,p097.jpg,r068.png,"Dr.P Adult Underpads XL, 8 Sheets, 60 x 90cm"
0098,p098.png,r051.png,"Galanz P70F23P-G5(S0) 23L Microwave Oven, Knob Control, Flatbed Heating, Six Power Levels"
0099,p099.png,r176.png,"Snowhite Direct-Liquid Rollerball Gel Pen, Black, 12-Pack, Model PVR-155"
0100,p100.png,r010.png,"Danisa Danish Butter Cookies with Raisins, 90g, Imported from Indonesia"
